Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,target
26.85,45.05,27,424,12858,20763,937.567,2.27,2.36,15.63,2.438,0.055,137,0
20.746,27.21,13541,545,12740,19100,936.868,0.69,0.72,4.75,0.741,0.017,4395,0
-12.196,50.21,1201,400,13024,19421,938.767,2.63,2.73,18.11,2.824,0.064,24096,1
12.038,47.07,1180,423,12865,19432,938.81,1.68,1.74,11.53,1.798,0.041,15630,1
25.772,44.64,64,433,12844,20724,937.586,2.17,2.26,14.97,2.334,0.053,130,0
22.48,52.75,303,400,13115,19903,939.676,1.27,1.32,8.73,1.361,0.031,3507,1
26.81,48.15,1161,400,12900,19439,938.77,1.76,1.83,12.12,1.89,0.043,17294,1
40.98,13.71,0,3369,12523,20299,930.942,0.76,0.79,5.22,0.814,0.018,601,1
11.22,54.59,29,417,12559,19641,939.813,0.0,0.0,0.0,0.004,0.002,158,0
24.59,53.2,1176,410,12886,19444,938.764,1.86,1.94,12.82,2.0,0.045,16490,1
-5.176,45.69,107,416,12775,20613,937.433,1.7,1.77,11.7,1.824,0.041,1620,0
-6.282,55.89,227,400,13141,20041,939.596,0.68,0.7,4.65,0.726,0.016,6713,1
8.066,52.78,1105,655,12789,19453,939.089,2.39,2.49,16.48,2.57,0.058,11157,1
24.37,54.12,1312,412,12987,19403,938.869,2.2,2.29,15.14,2.361,0.053,24953,1
-19.373,50.15,1323,400,12983,19391,938.701,1.76,1.83,12.11,1.888,0.043,23647,1
-7.613,50.83,195,400,13155,20076,939.666,0.94,0.98,6.49,1.013,0.023,6332,1
18.85,66.66,577,652,12812,19685,939.231,2.82,2.93,19.42,3.029,0.068,9251,1
25.98,48.39,178,428,12770,20540,937.387,1.61,1.68,11.11,1.733,0.039,2949,0
25.98,48.42,180,431,12771,20537,937.333,1.93,2.01,13.31,2.075,0.047,3009,0
-16.363,12.01,2605,400,13571,20016,936.691,0.76,0.79,5.2,0.811,0.018,5486,0
26.88,43.16,172,451,12763,20542,937.414,2.0,2.07,13.74,2.142,0.048,1795,0
20.427,52.2,1128,400,12924,19449,938.714,1.59,1.65,10.94,1.707,0.039,18663,1
26.6,45.96,45,408,12833,20734,937.553,2.39,2.48,16.43,2.562,0.058,376,0
-3.969,47.42,96,400,13234,20118,939.67,2.13,2.22,14.68,2.289,0.052,4351,1
49.71,14.77,1076,400,13732,20399,936.666,0.84,0.88,5.8,0.905,0.02,5592,0
16.28,48.25,1105,468,12864,19455,938.902,2.27,2.35,15.6,2.432,0.055,14291,1
18.33,57.87,372,400,13046,19887,939.271,0.46,0.48,3.18,0.497,0.011,9089,1
14.14,51.35,1,400,12809,19807,939.842,0.21,0.21,1.41,0.22,0.005,528,0
20.26,54.3,309,400,13113,19951,939.363,0.38,0.39,2.6,0.406,0.009,8321,1
16.497,52.2,1092,400,12910,19454,938.745,1.5,1.56,10.32,1.609,0.036,17583,1
23.03,53.72,864,726,12763,19512,939.13,2.27,2.36,15.64,2.438,0.055,10012,1
16.04,49.93,0,400,13033,19944,939.746,0.19,0.19,1.29,0.201,0.005,997,0
20.463,53.56,1187,400,12926,19429,938.691,1.71,1.78,11.8,1.84,0.042,19311,1
-9.152,47.47,70,400,12792,20656,937.481,1.77,1.84,12.21,1.904,0.043,1221,0
24.73,52.75,1115,408,12884,19444,938.761,1.83,1.9,12.58,1.962,0.044,16664,1
11.368,53.34,1034,624,12803,19465,939.068,2.08,2.16,14.31,2.231,0.05,11454,1
-4.819,55.19,255,400,13125,20009,939.515,0.56,0.58,3.87,0.604,0.014,7180,1
24.65,53.24,1218,404,12916,19428,938.695,1.79,1.86,12.29,1.917,0.043,18768,1
22.26,48.22,149,400,13213,20072,939.664,1.63,1.69,11.22,1.75,0.04,4036,1
8.563,16.14,659,400,13735,20528,936.694,0.47,0.49,3.22,0.503,0.011,5689,0
-18.342,51.31,1396,415,12966,19375,938.719,1.85,1.92,12.72,1.984,0.045,23736,1
-22.008,52.7,1406,411,12962,19372,938.716,1.85,1.92,12.7,1.98,0.045,23141,1
26.81,47.68,1115,564,12829,19460,938.983,1.97,2.04,13.54,2.111,0.048,12494,1
16.024,48.8,1155,400,12902,19443,938.725,1.58,1.64,10.89,1.699,0.038,17470,1
25.72,48.07,154,413,12776,20565,937.351,1.9,1.98,13.11,2.044,0.046,2059,0
26.85,48.01,1201,400,12955,19426,938.75,2.01,2.08,13.81,2.153,0.049,20358,1
17.186,52.79,1141,400,12906,19444,938.711,1.62,1.68,11.13,1.735,0.039,17744,1
-5.197,57.67,360,400,13058,19898,939.242,0.51,0.53,3.51,0.548,0.012,8930,1
19.86,53.67,124,400,13220,20087,939.623,2.14,2.22,14.73,2.296,0.052,4081,1
26.81,48.09,1044,433,12875,19465,938.822,1.55,1.61,10.69,1.667,0.038,14954,1
19.406,47.21,19,400,13219,20143,939.601,0.96,1.0,6.62,1.032,0.023,2328,0
-9.244,48.95,52,400,13243,20200,939.722,2.52,2.62,17.37,2.708,0.061,5605,1
26.98,46.61,906,400,13016,19498,938.744,2.1,2.18,14.44,2.252,0.051,20182,1
-6.044,52.45,43,400,13257,20179,939.679,2.55,2.64,17.52,2.732,0.062,4603,1
-5.123,41.72,114,400,12792,20607,937.36,1.75,1.82,12.07,1.882,0.043,2142,0
7.015,52.85,1176,400,12972,19423,938.717,2.15,2.24,14.83,2.312,0.052,20750,1
24.55,53.52,1203,406,12924,19431,938.716,1.55,1.61,10.66,1.663,0.038,19849,1
28.76,42.06,149,413,12775,20568,937.311,1.88,1.95,12.92,2.014,0.045,2445,0
20.035,44.91,195,442,12762,20525,937.415,1.67,1.74,11.52,1.796,0.041,2876,0
25.89,47.41,1413,417,12946,19375,938.723,1.83,1.9,12.61,1.967,0.044,21451,1
23.736,47.29,86,400,13101,19967,939.603,0.63,0.66,4.34,0.677,0.015,1855,0
20.71,51.85,347,400,13076,19918,939.289,0.36,0.38,2.49,0.388,0.009,8831,1
19.962,47.34,1092,565,12827,19452,938.965,1.91,1.99,13.15,2.051,0.046,12498,1
20.851,49.87,1074,554,12829,19458,938.887,1.92,2.0,13.24,2.064,0.047,12935,1
28.83,41.44,106,400,12798,20619,937.318,1.66,1.72,11.4,1.778,0.04,2268,0
26.48,49.63,1069,536,12841,19468,938.927,1.92,2.0,13.22,2.062,0.047,13026,1
-19.453,54.22,1187,400,12984,19429,938.756,1.87,1.94,12.84,2.002,0.045,22561,1
26.41,49.84,1276,400,12995,19412,938.819,1.7,1.76,11.68,1.821,0.041,24728,1
-20.333,47.87,1383,409,12979,19389,938.707,1.75,1.82,12.05,1.879,0.042,23545,1
20.8,50.59,287,400,13122,19979,939.43,0.37,0.39,2.57,0.401,0.009,7719,1
10.561,53.06,1233,400,12960,19415,938.743,2.21,2.29,15.18,2.367,0.053,20511,1
-16.314,53.98,1406,406,12961,19388,938.718,2.08,2.16,14.29,2.229,0.05,22256,1
-4.337,52.33,297,400,13116,19965,939.379,0.27,0.28,1.88,0.292,0.007,8155,1
-5.235,46.49,126,408,12777,20591,937.351,1.75,1.81,12.01,1.873,0.042,2102,0
23.755,49.61,7,400,12669,19721,939.798,0.05,0.08,0.31,0.085,0.024,308,0
13.292,53.43,1076,616,12810,19467,939.05,1.76,1.82,12.08,1.884,0.043,11635,1
12.033,47.47,1120,413,12887,19446,938.748,1.67,1.74,11.52,1.796,0.041,15922,1
-5.008,50.05,251,400,13121,20009,939.551,0.52,0.54,3.59,0.56,0.013,7109,1
16.69,52.89,1147,496,12852,19448,938.904,2.32,2.41,15.98,2.492,0.056,14209,1
24.76,52.54,1189,422,12877,19434,938.767,1.69,1.76,11.63,1.813,0.041,16363,1
6.909,56.35,262,400,13149,19943,939.662,1.79,1.85,12.29,1.916,0.043,3376,1
26.67,45.81,32,400,12833,20737,937.552,2.42,2.51,16.65,2.596,0.059,373,0
7.631,47.96,1061,400,13003,19467,938.703,2.42,2.51,16.66,2.598,0.059,20710,1
20.773,49.51,1130,400,12924,19440,938.703,1.78,1.85,12.22,1.906,0.043,19087,1
27.12,47.16,1055,430,12872,19464,938.836,2.07,2.15,14.24,2.221,0.05,15026,1
19.14,55.34,167,400,13160,20079,939.625,0.85,0.88,5.86,0.913,0.021,6293,1
19.33,47.77,200,400,13135,19967,939.646,0.76,0.79,5.22,0.813,0.018,3159,0
20.453,47.0,1118,526,12839,19446,938.93,2.03,2.11,13.98,2.179,0.049,13284,1
25.12,50.57,1149,445,12866,19440,938.831,1.92,2.0,13.24,2.064,0.047,15336,1
24.38,55.55,870,689,12783,19516,939.089,2.39,2.49,16.47,2.568,0.058,10160,1
-4.555,62.52,703,741,12764,19555,939.137,2.75,2.86,18.96,2.957,0.067,9617,1
42.58,18.49,0,400,13659,21410,936.82,0.85,0.89,5.88,0.916,0.021,4791,0
-7.833,54.02,1343,410,12957,19390,938.726,2.5,2.59,17.18,2.68,0.061,21658,1
21.36,53.68,24,400,13262,20230,939.727,2.69,2.79,18.48,2.882,0.065,5643,1
28.69,42.37,165,431,12767,20556,937.305,1.82,1.89,12.5,1.949,0.044,2562,0
24.48,53.74,1390,408,12965,19387,938.691,1.84,1.91,12.66,1.974,0.045,22191,1
26.88,47.76,1111,493,12853,19454,938.914,1.76,1.83,12.1,1.887,0.043,13934,1
24.44,53.13,1094,566,12830,19454,938.973,1.78,1.85,12.28,1.915,0.043,12656,1
-20.847,48.79,1343,401,12973,19404,938.733,1.45,1.51,9.99,1.558,0.035,22752,1
22.18,54.88,286,400,13131,19920,939.686,1.94,2.02,13.37,2.085,0.047,3437,1
26.46,48.11,1019,642,12800,19475,939.078,2.38,2.47,16.38,2.554,0.058,11135,1
19.824,50.12,1201,400,12918,19435,938.712,1.66,1.73,11.43,1.782,0.04,18426,1
26.48,49.77,1377,408,12972,19381,938.709,1.7,1.76,11.69,1.823,0.041,23528,1
24.47,53.33,1101,534,12833,19459,938.909,2.14,2.22,14.7,2.292,0.052,13079,1
20.546,51.87,1145,529,12839,19445,938.89,2.13,2.22,14.69,2.291,0.052,13241,1
26.84,48.33,1346,400,12974,19393,938.715,1.43,1.49,9.87,1.54,0.035,23237,1
20.822,47.43,1097,538,12843,19451,938.933,1.77,1.84,12.2,1.902,0.043,13038,1
16.385,42.88,195,429,12775,20529,937.407,1.56,1.62,10.75,1.676,0.038,3279,0
29.28,40.62,56,402,12840,20736,937.577,1.82,1.89,12.51,1.95,0.044,272,0
14.463,53.13,1082,614,12806,19457,939.08,2.01,2.09,13.83,2.156,0.049,11751,1
26.78,48.28,1124,415,12876,19442,938.794,1.78,1.84,12.22,1.905,0.043,15852,1
12.515,47.8,1149,400,12881,19443,938.735,1.93,2.01,13.3,2.074,0.047,16337,1
13.517,44.62,0,400,13099,20996,937.449,2.04,2.12,14.07,2.194,0.05,3425,0
-0.522,55.69,898,689,12786,19508,939.091,2.57,2.67,17.67,2.755,0.062,10325,1
19.05,52.19,282,400,13116,19987,939.511,0.5,0.51,3.41,0.532,0.012,7401,1
18.004,53.65,1140,408,12903,19438,938.726,1.71,1.78,11.78,1.837,0.041,17936,1
18.38,56.51,328,400,13098,19934,939.365,0.24,0.25,1.66,0.259,0.006,8365,1
-18.128,12.71,3158,400,13507,19865,936.693,0.79,0.82,5.46,0.852,0.019,5458,0
27.2,38.96,0,400,13462,21296,937.399,2.07,2.15,14.26,2.224,0.05,3755,0
23.04,54.49,960,744,12757,19497,939.132,2.23,2.32,15.34,2.392,0.054,10074,1
20.58,49.77,107,400,13237,20113,939.653,2.17,2.26,14.94,2.33,0.053,4177,1
-8.42,47.97,1231,400,13021,19427,938.753,2.4,2.49,16.5,2.572,0.058,24254,1
40.11,15.15,181,7453,12130,19941,930.956,10.58,10.99,72.79,11.35,0.256,434,1
19.864,53.12,1120,573,12825,19440,938.995,2.34,2.43,16.13,2.515,0.057,12475,1
20.851,53.39,958,511,12852,19490,938.905,2.11,2.2,14.54,2.268,0.051,12961,1
18.26,52.05,65,400,13199,20117,939.641,1.24,1.29,8.54,1.332,0.03,2636,0
-5.994,50.07,212,400,13148,20051,939.607,0.51,0.53,3.53,0.551,0.012,6796,1
12.523,38.96,0,400,13462,21296,937.399,2.07,2.15,14.26,2.224,0.05,3755,0
18.86,66.38,585,657,12809,19686,939.236,2.91,3.02,20.03,3.124,0.071,9249,1
9.855,45.65,169,400,13154,20004,939.629,0.8,0.83,5.47,0.853,0.019,3140,0
26.88,47.9,1149,400,12893,19449,938.76,1.91,1.98,13.14,2.049,0.046,16757,1
20.15,52.82,46,400,13229,20165,939.695,2.27,2.36,15.63,2.437,0.055,5081,1
54.96,18.54,60000,15480,11100,15953,936.769,5467.04,9971.93,26844.01,11000.508,4298.602,5120,0
20.7,52.09,359,400,13059,19904,939.271,0.54,0.56,3.72,0.579,0.013,8999,1
26.44,46.39,68,403,12829,20699,937.513,1.75,1.82,12.03,1.875,0.042,442,0
-9.417,50.29,1214,400,13004,19420,938.755,2.24,2.33,15.45,2.409,0.054,24215,1
24.57,53.27,1195,431,12872,19445,938.795,1.88,1.96,12.97,2.022,0.046,15712,1
20.88,46.42,105,400,13188,20069,939.649,1.1,1.14,7.54,1.175,0.027,2842,0
-9.021,24.72,60000,9643,11389,16551,936.829,6242.02,6773.5,42237.01,7044.066,431.125,4994,0
28.8,41.49,138,403,12791,20596,937.349,1.76,1.83,12.13,1.891,0.043,2026,0
7.516,53.81,1005,643,12803,19483,939.108,2.35,2.44,16.16,2.52,0.057,11108,1
20.64,52.8,1109,540,12834,19448,938.885,1.84,1.91,12.63,1.97,0.044,13190,1
26.99,47.66,1320,400,12969,19398,938.699,1.81,1.88,12.44,1.939,0.044,22108,1
18.832,47.68,1149,400,12909,19436,938.699,2.23,2.32,15.34,2.393,0.054,18141,1
15.38,51.01,1,400,13001,19923,939.729,0.2,0.21,1.37,0.214,0.005,875,0
-18.966,53.25,1366,408,12971,19386,938.706,1.81,1.88,12.43,1.938,0.044,23684,1
24.41,43.58,0,400,13552,20222,931.231,3459.02,8250.41,12107.11,9281.607,4603.986,87,1
24.41,53.16,1042,579,12824,19474,939.015,1.61,1.67,11.06,1.725,0.039,12295,1
20.277,52.27,1153,400,12937,19437,938.686,1.91,1.99,13.15,2.051,0.046,19383,1
-5.156,54.24,247,400,13126,20021,939.553,0.33,0.35,2.3,0.359,0.008,7057,1
12.198,47.03,1239,455,12858,19414,938.816,1.85,1.92,12.71,1.983,0.045,15451,1
12.639,47.44,1124,400,12891,19454,938.743,2.24,2.33,15.45,2.409,0.054,16403,1
15.97,51.1,13,400,13036,19940,939.776,0.37,0.39,2.57,0.401,0.009,1044,0
26.29,50.61,1023,400,13012,19473,938.721,2.04,2.12,14.06,2.192,0.05,20164,1
-18.602,48.54,1341,400,12986,19397,938.708,1.81,1.88,12.46,1.943,0.044,23715,1
13.225,53.09,1080,447,12868,19455,938.813,1.72,1.79,11.87,1.851,0.042,14990,1
29.12,40.82,94,422,12782,20661,937.56,2.02,2.1,13.92,2.171,0.049,820,0
28.17,39.62,35,444,12848,20755,937.592,2.0,2.08,13.76,2.145,0.048,114,0
26.58,49.34,1406,414,12974,19377,938.734,1.65,1.71,11.33,1.766,0.04,24010,1
39.13,14.6,0,2399,12668,20352,930.934,0.91,0.94,6.23,0.971,0.022,618,1
36.62,15.19,0,1697,12716,20634,930.886,0.94,0.98,6.48,1.011,0.023,964,1
-6.77,52.65,219,400,13141,20048,939.63,0.63,0.65,4.34,0.676,0.015,6575,1
24.58,53.23,1375,417,12964,19389,938.756,1.97,2.05,13.58,2.117,0.048,22605,1
-7.82,48.78,155,400,13172,20097,939.652,0.85,0.88,5.84,0.911,0.021,6269,1
22.28,48.3,22,400,13254,20212,939.7,2.26,2.35,15.55,2.424,0.055,5309,1
12.305,47.74,1076,617,12817,19470,939.056,2.43,2.52,16.72,2.607,0.059,11541,1
26.26,48.86,998,631,12807,19482,939.077,2.41,2.51,16.61,2.59,0.058,11128,1
26.84,48.04,1149,401,12894,19446,938.761,1.54,1.6,10.6,1.652,0.037,16935,1
9.914,48.92,1088,648,12784,19454,939.072,1.73,1.8,11.91,1.856,0.042,11322,1
13.17,57.16,0,400,12809,19809,939.828,0.38,0.42,2.53,0.433,0.033,515,0
-3.529,50.98,688,770,12747,19570,939.156,3.03,3.15,20.84,3.249,0.073,9883,1
20.98,51.17,202,400,13153,20062,939.598,0.5,0.51,3.41,0.532,0.012,6789,1
24.68,52.92,1126,400,12888,19443,938.776,1.82,1.89,12.53,1.954,0.044,16546,1
26.587,38.95,58,412,12846,20729,937.576,2.17,2.26,14.95,2.331,0.053,169,0
26.22,51.87,1094,439,12876,19463,938.879,1.71,1.77,11.74,1.831,0.041,14763,1
28.31,43.46,97,400,12793,20637,937.478,1.67,1.74,11.52,1.796,0.041,1408,0
-4.291,47.5,131,406,12783,20598,937.308,2.0,2.08,13.79,2.15,0.049,2229,0
18.31,57.42,346,400,13080,19912,939.303,0.35,0.36,2.4,0.374,0.008,8760,1
0.254,53.2,1318,404,12951,19383,938.675,2.05,2.13,14.12,2.201,0.05,21167,1
18.394,19.83,38676,796,12608,18648,936.931,1.35,1.4,9.27,1.445,0.033,4545,0
12.83,49.41,35,400,12687,19719,939.801,0.06,0.08,0.36,0.085,0.018,368,0
28.59,42.1,145,404,12791,20577,937.33,1.87,1.94,12.86,2.006,0.045,2318,0
16.73,39.98,49,400,12834,20712,937.524,2.29,2.38,15.75,2.457,0.055,591,0
15.314,46.65,62,400,12829,20703,937.498,2.15,2.23,14.76,2.302,0.052,619,0
24.44,53.26,1065,537,12829,19459,938.91,2.09,2.17,14.38,2.242,0.051,12838,1
19.822,50.19,1097,502,12851,19462,938.861,1.89,1.96,12.99,2.026,0.046,13505,1
-7.193,52.56,199,400,13153,20070,939.642,1.09,1.13,7.51,1.171,0.026,6455,1
19.5,52.21,216,400,13144,20047,939.649,0.63,0.65,4.32,0.674,0.015,6574,1
52.89,12.71,2036,400,13606,20158,936.684,0.79,0.82,5.41,0.844,0.019,5548,0
24.64,53.05,1151,401,12888,19442,938.765,1.88,1.96,12.96,2.021,0.046,16488,1
15.7,49.02,1097,467,12860,19446,938.937,2.05,2.13,14.11,2.2,0.05,14408,1
26.43,50.37,1143,431,12869,19448,938.82,1.64,1.71,11.32,1.765,0.04,15425,1
12.656,47.9,1071,419,12873,19452,938.795,2.15,2.24,14.82,2.311,0.052,15194,1
19.909,21.75,22605,613,12710,18912,936.899,0.64,0.66,4.4,0.686,0.015,4479,0
12.86,53.32,1073,434,12873,19468,938.811,1.72,1.79,11.86,1.849,0.042,15113,1
24.48,53.35,1143,535,12834,19441,938.872,1.95,2.03,13.43,2.094,0.047,13440,1
25.24,44.58,0,400,13269,21242,937.423,1.54,1.6,10.59,1.651,0.037,3612,0
22.926,56.85,0,400,12631,19709,939.808,0.06,0.11,0.29,0.127,0.051,228,0
19.901,30.39,11811,501,12765,19213,936.877,0.37,0.38,2.54,0.396,0.009,4240,0
27.04,47.5,1358,408,12954,19388,938.712,2.39,2.48,16.45,2.566,0.058,21690,1
-21.785,52.58,1316,400,12988,19398,938.706,1.71,1.78,11.76,1.834,0.041,23283,1
13.7,50.51,1164,463,12858,19441,938.851,1.57,1.63,10.79,1.682,0.038,14856,1
13.87,52.9,30,400,13018,19916,939.743,0.31,0.32,2.13,0.331,0.007,1006,0
-4.092,50.48,294,400,13119,19979,939.428,0.46,0.48,3.15,0.491,0.011,7828,1
16.907,51.87,1143,400,12904,19445,938.694,1.48,1.54,10.2,1.59,0.036,17679,1
26.8,48.39,1187,400,12917,19437,938.691,1.6,1.66,11.0,1.716,0.039,18973,1
22.01,49.25,5,400,13266,20233,939.746,2.38,2.48,16.41,2.559,0.058,5415,1
-19.709,50.14,1408,415,12972,19385,938.704,1.63,1.69,11.22,1.749,0.04,23614,1
9.556,49.56,198,400,13137,19971,939.653,0.86,0.89,5.9,0.92,0.021,3164,0
-21.962,11.94,60000,1497,12233,17782,936.734,605.76,675.81,4052.49,705.692,59.773,5297,0
18.694,47.42,994,567,12829,19479,939.045,1.95,2.03,13.44,2.096,0.047,12260,1
17.38,53.18,0,400,13196,20129,939.635,0.8,0.83,5.49,0.856,0.019,2164,0
20.179,48.24,1187,400,12914,19436,938.727,1.5,1.56,10.34,1.612,0.036,18554,1
24.52,53.53,1159,404,12895,19432,938.769,1.51,1.57,10.39,1.62,0.037,17275,1
26.53,46.12,48,400,12831,20720,937.51,1.73,1.8,11.9,1.856,0.042,436,0
24.68,53.05,1254,413,12916,19417,938.689,1.45,1.51,9.98,1.556,0.035,19545,1
20.43,51.11,70,400,13241,20154,939.647,2.08,2.16,14.33,2.234,0.05,4478,1
-4.925,57.1,640,542,12870,19615,939.186,2.91,3.02,20.04,3.125,0.071,9459,1
18.65,54.96,318,400,13099,19940,939.41,0.29,0.3,1.99,0.31,0.007,8298,1
18.34,49.32,0,400,13142,20046,939.6,0.52,0.54,3.6,0.561,0.013,1610,0
22.62,46.51,174,400,13210,20036,939.665,1.98,2.06,13.64,2.127,0.048,3870,1
26.88,47.85,1277,400,12961,19432,938.751,1.95,2.03,13.44,2.096,0.047,20360,1
22.33,48.19,32,400,13261,20194,939.669,2.36,2.45,16.21,2.528,0.057,4762,1
-4.993,55.28,353,400,13078,19906,939.306,0.17,0.18,1.19,0.186,0.004,8688,1
13.15,55.28,26,400,12991,19902,939.764,0.15,0.16,1.04,0.163,0.004,899,0
26.859,50.57,11,400,13073,19950,939.729,0.54,0.57,3.74,0.584,0.013,1252,0
13.868,53.21,1153,463,12868,19451,938.855,1.56,1.62,10.71,1.67,0.038,14813,1
-5.916,53.97,1350,400,12957,19393,938.714,1.85,1.92,12.73,1.985,0.045,21539,1
23.52,51.94,965,745,12758,19486,939.095,2.3,2.39,15.84,2.469,0.056,10130,1
-4.68,55.12,321,400,13109,19944,939.351,0.25,0.26,1.7,0.265,0.006,8432,1
25.19,50.25,1218,417,12887,19424,938.762,1.55,1.61,10.65,1.661,0.038,17315,1
-3.528,52.15,112,400,13223,20104,939.66,1.87,1.94,12.84,2.003,0.045,4303,1
18.34,56.99,338,400,13086,19917,939.336,0.19,0.19,1.29,0.201,0.005,8483,1
21.81,49.39,137,400,13196,20133,939.655,1.31,1.36,9.02,1.406,0.032,6079,1
19.37,53.09,208,400,13144,20055,939.636,0.64,0.67,4.42,0.689,0.016,6576,1
20.31,47.08,1128,523,12845,19448,938.891,1.89,1.97,13.02,2.031,0.046,13343,1
26.64,48.91,1329,413,12972,19386,938.699,1.7,1.77,11.71,1.826,0.041,23412,1
19.74,62.53,256,400,13144,19941,939.67,1.88,1.96,12.97,2.022,0.046,3354,1
-19.63,52.96,1398,413,12969,19374,938.722,1.59,1.66,10.96,1.71,0.039,23622,1
20.793,53.71,1279,420,12910,19413,938.705,1.85,1.92,12.74,1.987,0.045,19016,1
26.96,47.83,1230,409,12922,19430,938.683,1.85,1.92,12.73,1.985,0.045,19401,1
25.96,46.79,1149,575,12819,19440,938.911,1.9,1.97,13.07,2.038,0.046,12871,1
-21.46,11.43,8145,400,13317,19490,936.701,3.09,3.21,21.24,3.313,0.075,5370,0
26.366,55.88,22,400,13091,19988,939.681,0.92,0.95,6.3,0.982,0.022,1408,0
28.67,42.56,174,424,12774,20550,937.349,1.74,1.81,11.97,1.867,0.042,2680,0
19.36,55.79,134,400,13191,20135,939.652,1.5,1.56,10.35,1.614,0.036,5999,1
8.481,47.92,1071,652,12797,19464,939.065,1.99,2.07,13.73,2.14,0.048,11194,1
23.71,39.46,0,629,13375,20288,931.152,967.42,1007.11,6653.3,1040.681,25.393,44,1
-1.546,55.28,960,733,12767,19497,939.065,2.4,2.5,16.54,2.579,0.058,10198,1
26.65,48.97,1344,410,12978,19388,938.694,1.63,1.69,11.2,1.747,0.039,23531,1
27.01,47.64,1366,403,12973,19390,938.689,1.83,1.9,12.6,1.964,0.044,23190,1
-22.002,54.07,1350,408,12969,19386,938.687,1.96,2.04,13.51,2.107,0.048,23156,1
-4.838,41.45,128,413,12783,20592,937.344,1.94,2.02,13.35,2.082,0.047,1966,0
-14.572,51.57,1375,406,12960,19386,938.724,1.61,1.67,11.09,1.729,0.039,22117,1
24.75,54.72,825,660,12793,19521,939.082,2.46,2.55,16.92,2.638,0.06,10340,1
23.69,55.06,766,839,12707,19534,939.161,2.96,3.07,20.34,3.172,0.072,9644,1
26.918,54.0,24,400,13061,19940,939.744,0.38,0.4,2.63,0.41,0.009,1226,0
19.249,52.71,25,400,13206,20149,939.579,0.99,1.03,6.84,1.067,0.024,2343,0
-2.045,51.94,965,745,12758,19486,939.095,2.3,2.39,15.84,2.469,0.056,10130,1
49.45,24.84,21369,687,12665,18919,936.884,0.69,0.72,4.78,0.745,0.017,4414,0
3.401,14.81,914,400,13705,20445,936.688,0.62,0.65,4.29,0.669,0.015,5659,0
27.12,46.94,1059,504,12853,19467,938.841,1.69,1.75,11.61,1.81,0.041,13648,1
41.18,13.77,339,4178,12401,19766,930.887,0.97,1.01,6.67,1.04,0.023,544,1
12.517,47.69,1120,400,12886,19446,938.747,1.97,2.05,13.56,2.115,0.048,16338,1
26.39,50.33,1237,400,12964,19420,938.701,2.44,2.54,16.8,2.62,0.059,21306,1
27.08,43.26,228,463,12748,20488,937.418,1.73,1.8,11.91,1.858,0.042,3354,0
19.694,52.05,1166,518,12844,19439,938.86,2.12,2.21,14.61,2.278,0.051,13542,1
26.99,46.96,1048,576,12824,19475,939.016,2.47,2.57,17.0,2.651,0.06,12208,1
20.81,49.91,1101,546,12835,19455,938.903,2.16,2.25,14.9,2.323,0.052,13055,1
56.69,18.55,60000,25939,10863,15628,936.779,10586.23,23750.92,40820.43,26613.062,12635.078,5131,0
27.04,47.14,1130,537,12837,19458,938.882,1.71,1.77,11.76,1.833,0.041,13162,1
-8.293,55.4,159,400,13180,20109,939.663,1.1,1.14,7.56,1.179,0.027,6114,1
24.44,53.73,1182,413,12884,19433,938.765,1.85,1.92,12.74,1.986,0.045,16139,1
-4.277,52.34,305,400,13117,19970,939.384,0.31,0.32,2.12,0.33,0.007,8098,1
46.31,15.8,577,400,13749,20608,936.636,0.5,0.52,3.43,0.535,0.012,5728,0
26.845,49.6,3,400,13080,19962,939.712,0.47,0.49,3.25,0.506,0.011,1258,0
-4.652,56.32,253,400,13132,20013,939.536,0.49,0.51,3.37,0.526,0.012,7249,1
26.37,45.84,147,424,12776,20562,937.329,1.88,1.95,12.92,2.015,0.046,2339,0
18.44,56.64,350,400,13078,19916,939.282,0.2,0.21,1.41,0.22,0.005,8695,1
27.09,49.66,46,400,13029,19915,939.758,0.33,0.35,2.3,0.358,0.008,1111,0
22.826,56.19,8,400,12601,19677,939.787,0.09,0.18,0.37,0.196,0.086,219,0
12.645,47.48,1084,417,12878,19455,938.8,2.19,2.28,15.09,2.354,0.053,15199,1
13.851,52.44,1321,418,12926,19401,938.72,1.59,1.66,10.97,1.711,0.039,20260,1
-9.911,48.01,1168,400,13012,19429,938.765,1.93,2.0,13.25,2.066,0.047,24195,1
24.85,51.99,1140,466,12855,19436,938.875,1.78,1.85,12.26,1.912,0.043,14621,1
20.3,48.64,43,400,13211,20125,939.64,1.04,1.08,7.16,1.116,0.025,2603,0
21.25,57.08,672,631,12821,19591,939.184,2.54,2.64,17.51,2.73,0.062,9469,1
11.412,46.46,174,400,13149,20000,939.677,0.78,0.81,5.38,0.84,0.019,3015,0
38.93,39.4,9167,400,12889,19375,936.894,0.68,0.71,4.71,0.735,0.017,4213,0
26.81,47.54,1176,400,13019,19426,938.78,2.56,2.66,17.61,2.746,0.062,24260,1
-0.747,53.23,1415,418,12944,19386,938.709,2.03,2.11,14.0,2.183,0.049,21227,1
